Year,Species,Number,Whole_Wt_ metric_tons,Region,Management Area,RI_Area
2014,Steelhead,104,0,Southeastern,A,SEAK
2009,Steelhead,2,0,Southeastern,B,SEAK
2013,Steelhead,1,0,Southeastern,B,SEAK
1998,Steelhead,15,0,Southeastern,C,SEAK
2009,Steelhead,2,0,Central,E,PWS
2011,Steelhead,1,0,Central,E,PWS
2004,Pink,6,0,A-Y-K,X,WAK
2006,Chinook,9,0,A-Y-K,X,WAK
2007,Chinook,15,0,A-Y-K,X,WAK
2007,Pink,3,0,A-Y-K,X,WAK
2008,Chinook,4,0,A-Y-K,X,WAK
2008,Coho,36,0,A-Y-K,X,WAK
2008,Sockeye,9,0,A-Y-K,X,WAK
2009,Chinook,11,0,A-Y-K,X,WAK
2009,Coho,31,0,A-Y-K,X,WAK
2009,Pink,47,0,A-Y-K,X,WAK
2009,Sockeye,17,0,A-Y-K,X,WAK
2010,Chinook,15,0,A-Y-K,X,WAK
2010,Coho,8,0,A-Y-K,X,WAK
2010,Pink,570,0,A-Y-K,X,WAK
2010,Sockeye,8,0,A-Y-K,X,WAK
2011,Chinook,36,0,A-Y-K,X,WAK
2011,Coho,25,0,A-Y-K,X,WAK
2011,Pink,98,0,A-Y-K,X,WAK
2011,Sockeye,10,0,A-Y-K,X,WAK
2012,Chinook,7,0,A-Y-K,X,WAK
2012,Coho,18,0,A-Y-K,X,WAK
2012,Pink,445,0,A-Y-K,X,WAK
2012,Sockeye,6,0,A-Y-K,X,WAK
2013,Chinook,16,0,A-Y-K,X,WAK
2013,Coho,43,0,A-Y-K,X,WAK
2013,Pink,42,0,A-Y-K,X,WAK
2013,Sockeye,13,0,A-Y-K,X,WAK
2014,Chinook,20,0,A-Y-K,X,WAK
2014,Coho,33,0,A-Y-K,X,WAK
2014,Pink,405,0,A-Y-K,X,WAK
2014,Sockeye,17,0,A-Y-K,X,WAK
2014,Steelhead,522,0,A-Y-K,X,WAK
2011,Pink,4,0,A-Y-K,Y,WAK
2011,Sockeye,10,0,A-Y-K,Y,WAK
2012,Chinook,2548,0,A-Y-K,Y,WAK
2012,Pink,1,0,A-Y-K,Y,WAK
2013,Chinook,1639,0,A-Y-K,Y,WAK
2014,Chinook,6451,0,A-Y-K,Y,WAK
2015,Chinook,13331,0,A-Y-K,Y,WAK
2015,Sockeye,3,0,A-Y-K,Y,WAK
2009,Chinook,84,0,A-Y-K,Z,WAK
2012,Chinook,201,0,A-Y-K,Z,WAK
2013,Chinook,151,0,A-Y-K,Z,WAK
2007,Steelhead,11,0,Southeastern,C,SEAK
2006,Pink,41,0,A-Y-K,W,WAK
2005,Steelhead,1,0,Southeastern,B,SEAK
2015,Steelhead,2,0,Westward,M,SPen
2009,Sockeye,3,0,A-Y-K,Y,WAK
2004,Steelhead,1,0,Central,T,WAK
1999,Pink,2,0,A-Y-K,W,WAK
2004,Sockeye,1,0,A-Y-K,Y,WAK
2012,Sockeye,1,0,A-Y-K,Y,WAK
2012,Steelhead,2,0,Southeastern,B,SEAK
2011,Steelhead,1,0,Southeastern,B,SEAK
2014,Steelhead,1,0,Central,E,PWS
1996,Sockeye,1,0,A-Y-K,Z,WAK
2007,Pink,9,0,A-Y-K,W,WAK
1998,Coho,1,0,A-Y-K,Y,WAK
2015,Steelhead,11,0,Southeastern,A,SEAK
2002,Steelhead,2,0,Southeastern,C,SEAK
2002,Sockeye,1,0,A-Y-K,Z,WAK
2015,Steelhead,2,0.01,Southeastern,B,SEAK
2001,Steelhead,4,0.01,Southeastern,D,SEAK
1989,Sockeye,1,0.01,A-Y-K,Y,WAK
2014,Pink,3,0.01,A-Y-K,W,WAK
2006,Steelhead,24,0.01,Southeastern,C,SEAK
1990,Sockeye,2,0.01,A-Y-K,Y,WAK
2014,Steelhead,1,0.01,Southeastern,B,SEAK
2003,Chinook,9,0.01,A-Y-K,X,WAK
2004,Steelhead,2,0.01,Southeastern,C,SEAK
1993,Coho,4,0.01,Westward,F,WAK
2011,Pink,13,0.01,A-Y-K,W,WAK
2004,Sockeye,3,0.01,A-Y-K,X,WAK
2006,Sockeye,3,0.01,A-Y-K,Z,WAK
2008,Sockeye,3,0.01,A-Y-K,Y,WAK
2008,Steelhead,10,0.01,Southeastern,C,SEAK
2013,Pink,7,0.01,A-Y-K,W,WAK
1997,Pink,10,0.01,A-Y-K,W,WAK
1995,Steelhead,4,0.01,Southeastern,B,SEAK
2009,Steelhead,7,0.01,Southeastern,D,SEAK
2013,Steelhead,41,0.01,Southeastern,A,SEAK
2005,Steelhead,3,0.01,Southeastern,C,SEAK
2015,Chinook,5,0.01,A-Y-K,X,WAK
2004,Chinook,22,0.01,A-Y-K,Z,WAK
1990,Sockeye,10881,0.02,Southeastern,D,SEAK
1996,Steelhead,0,0.02,Southeastern,D,SEAK
2008,Steelhead,6,0.02,Southeastern,D,SEAK
2009,Pink,28,0.02,A-Y-K,W,WAK
2003,Steelhead,2,0.02,Southeastern,D,SEAK
1998,Sockeye,7,0.02,A-Y-K,Z,WAK
2013,Steelhead,12,0.02,Southeastern,D,SEAK
2010,Steelhead,11,0.02,Southeastern,C,SEAK
1996,Pink,20,0.02,Westward,F,WAK
1997,Pink,20,0.02,A-Y-K,Z,WAK
2002,Chinook,5,0.02,A-Y-K,Z,WAK
2005,Sockeye,12,0.02,A-Y-K,Z,WAK
1996,Chinook,3,0.02,A-Y-K,X,WAK
2007,Steelhead,13,0.02,Southeastern,D,SEAK
1996,Steelhead,7,0.03,Southeastern,B,SEAK
2015,Steelhead,9,0.03,Southeastern,D,SEAK
1989,Pink,17,0.03,A-Y-K,Y,WAK
2011,Steelhead,13,0.03,Southeastern,A,SEAK
2000,Chinook,3,0.03,A-Y-K,X,WAK
2008,Pink,37,0.03,A-Y-K,W,WAK
2001,Chinook,6,0.03,A-Y-K,X,WAK
2002,Steelhead,3,0.03,Southeastern,D,SEAK
2009,Steelhead,11,0.03,Southeastern,C,SEAK
1994,Chinook,4,0.03,A-Y-K,X,WAK
2010,Steelhead,12,0.03,Southeastern,D,SEAK
2000,Pink,24,0.03,A-Y-K,W,WAK
1990,Pink,1884338,0.04,Southeastern,A,SEAK
1994,Sockeye,16,0.04,Westward,F,WAK
1998,Steelhead,2,0.04,Southeastern,D,SEAK
2010,Steelhead,42,0.04,Southeastern,A,SEAK
1999,Chinook,5,0.04,A-Y-K,X,WAK
2011,Steelhead,16,0.04,Southeastern,C,SEAK
1995,Chinook,5,0.04,A-Y-K,X,WAK
1993,Sockeye,24,0.04,Westward,F,WAK
2006,Steelhead,11,0.04,Southeastern,D,SEAK
1985,Steelhead,13,0.05,Central,T,WAK
2005,Chinook,7,0.05,A-Y-K,X,WAK
2012,Pink,18,0.05,A-Y-K,W,WAK
2000,Steelhead,6,0.05,Southeastern,C,SEAK
2000,Steelhead,10,0.05,Southeastern,B,SEAK
2012,Steelhead,21,0.05,Southeastern,D,SEAK
2000,Sockeye,14,0.05,A-Y-K,Z,WAK
2003,Sockeye,21,0.05,A-Y-K,Z,WAK
2011,Steelhead,27,0.06,Southeastern,D,SEAK
2000,Steelhead,4,0.06,Southeastern,D,SEAK
2003,Chinook,12,0.06,A-Y-K,Z,WAK
2013,Steelhead,21,0.07,Southeastern,C,SEAK
1999,Steelhead,4,0.07,Southeastern,D,SEAK
2002,Steelhead,39,0.07,Southeastern,A,SEAK
1989,Steelhead,23,0.07,Southeastern,D,SEAK
2010,Pink,42,0.07,A-Y-K,W,WAK
2012,Steelhead,35,0.08,Southeastern,A,SEAK
2014,Steelhead,77,0.09,Southeastern,C,SEAK
2005,Pink,53,0.09,A-Y-K,W,WAK
1990,Coho,827562,0.09,Southeastern,A,SEAK
2007,Chinook,19,0.09,A-Y-K,Z,WAK
2009,Steelhead,45,0.1,Southeastern,A,SEAK
2014,Steelhead,41,0.1,Southeastern,D,SEAK
1987,Pink,57,0.1,Central,T,WAK
1999,Pink,71,0.1,Central,T,WAK
2012,Steelhead,38,0.1,Southeastern,C,SEAK
1990,Chum,585295,0.1,Southeastern,D,SEAK
1993,Steelhead,3,0.11,Southeastern,D,SEAK
2015,Steelhead,32,0.11,Westward,K,Kod
2004,Sockeye,47,0.12,A-Y-K,Z,WAK
2003,Pink,147,0.12,A-Y-K,X,WAK
1993,Pink,80,0.12,A-Y-K,W,WAK
1992,Coho,42,0.12,Westward,F,WAK
1995,Steelhead,0,0.12,Southeastern,D,SEAK
2005,Steelhead,54,0.12,Southeastern,D,SEAK
2004,Coho,37,0.13,Westward,L,SPen
2006,Chinook,20,0.13,A-Y-K,Z,WAK
1994,Steelhead,0,0.15,Southeastern,D,SEAK
1994,Steelhead,36,0.15,Southeastern,B,SEAK
1985,Steelhead,29,0.16,Southeastern,D,SEAK
2001,Sockeye,44,0.16,A-Y-K,Z,WAK
2003,Steelhead,47,0.16,Southeastern,A,SEAK
1993,Pink,145,0.17,Westward,F,WAK
1997,Pink,110,0.17,Central,T,WAK
1988,Steelhead,42,0.17,Southeastern,D,SEAK
1985,Pink,111,0.18,A-Y-K,W,WAK
1989,Pink,123,0.2,A-Y-K,Z,WAK
2015,Steelhead,340,0.21,Southeastern,C,SEAK
2008,Steelhead,60,0.21,Southeastern,A,SEAK
1987,Steelhead,55,0.22,Southeastern,D,SEAK
1994,Sockeye,80,0.24,A-Y-K,Z,WAK
1990,Chinook,32,0.24,A-Y-K,X,WAK
1991,Steelhead,75,0.25,Southeastern,D,SEAK
2009,Sockeye,126,0.26,A-Y-K,Z,WAK
2004,Steelhead,108,0.27,Southeastern,D,SEAK
1987,Chinook,44,0.27,A-Y-K,X,WAK
1987,Pink,163,0.28,A-Y-K,W,WAK
2001,Steelhead,80,0.28,Southeastern,A,SEAK
1997,Chinook,45,0.29,A-Y-K,X,WAK
2012,Sockeye,135,0.32,A-Y-K,Z,WAK
1991,Chinook,44,0.32,A-Y-K,X,WAK
2010,Sockeye,103,0.33,A-Y-K,Z,WAK
1997,Steelhead,11,0.33,Southeastern,D,SEAK
1994,Coho,5994,0.34,A-Y-K,Y,WAK
2005,Steelhead,106,0.37,Southeastern,A,SEAK
2006,Steelhead,103,0.38,Southeastern,A,SEAK
2008,Sockeye,149,0.4,A-Y-K,Z,WAK
1995,Sockeye,128,0.42,A-Y-K,Z,WAK
1993,Chinook,55,0.44,A-Y-K,X,WAK
2008,Chinook,83,0.44,A-Y-K,Z,WAK
2011,Chinook,4590,0.45,A-Y-K,Y,WAK
2007,Steelhead,131,0.45,Southeastern,A,SEAK
1995,Steelhead,128,0.47,Southeastern,C,SEAK
1991,Pink,305,0.47,Central,T,WAK
2014,Chinook,289,0.49,A-Y-K,Z,WAK
1992,Steelhead,25,0.49,Southeastern,D,SEAK
1997,Sockeye,161,0.5,A-Y-K,Z,WAK
1985,Chinook,63,0.5,A-Y-K,X,WAK
1992,Sockeye,231,0.52,Westward,F,WAK
1985,Sockeye,166,0.52,A-Y-K,Z,WAK
2001,Pink,428,0.53,Central,T,WAK
1995,Pink,321,0.53,A-Y-K,W,WAK
2003,Pink,244,0.54,Central,T,WAK
2004,Steelhead,169,0.55,Southeastern,A,SEAK
1994,Steelhead,142,0.58,Southeastern,C,SEAK
2004,Chinook,128,0.6,A-Y-K,X,WAK
1997,Steelhead,201,0.62,Southeastern,A,SEAK
1993,Pink,413,0.63,Central,T,WAK
1987,Sockeye,207,0.64,A-Y-K,Z,WAK
1989,Chinook,87,0.65,A-Y-K,X,WAK
1998,Steelhead,186,0.65,Southeastern,A,SEAK
2013,Sockeye,247,0.65,A-Y-K,Z,WAK
1996,Steelhead,170,0.66,Southeastern,C,SEAK
1991,Sockeye,203,0.67,A-Y-K,Z,WAK
2013,Pink,416,0.68,Central,T,WAK
1986,Steelhead,158,0.71,Southeastern,D,SEAK
1986,Chinook,101,0.75,A-Y-K,X,WAK
2011,Chinook,185,0.75,A-Y-K,Z,WAK
2009,Pink,514,0.75,Central,T,WAK
1993,Steelhead,182,0.76,Southeastern,C,SEAK
1989,Pink,438,0.76,Central,T,WAK
1992,Steelhead,214,0.76,Southeastern,C,SEAK
1995,Pink,471,0.76,Central,T,WAK
2008,Pink,922,0.76,A-Y-K,X,WAK
2000,Steelhead,211,0.77,Southeastern,A,SEAK
2010,Chinook,140,0.77,A-Y-K,Z,WAK
1991,Steelhead,215,0.77,Southeastern,C,SEAK
1991,Steelhead,213,0.78,Southeastern,A,SEAK
1986,Sockeye,233,0.8,A-Y-K,Z,WAK
1985,Pink,457,0.82,Central,T,WAK
1989,Sockeye,265,0.84,A-Y-K,Z,WAK
1990,Pink,743,0.85,A-Y-K,Y,WAK
1993,Steelhead,247,0.85,Southeastern,A,SEAK
1991,Pink,588,0.9,A-Y-K,W,WAK
1990,Chinook,115366,0.91,Southeastern,D,SEAK
1989,Chinook,106,0.92,Westward,K,Kod
1992,Chum,308,0.93,Westward,F,WAK
2002,Pink,528,0.93,Central,T,WAK
2011,Pink,667,0.96,Central,T,WAK
1993,Sockeye,284,0.96,A-Y-K,Z,WAK
1988,Chinook,152,0.96,A-Y-K,X,WAK
2014,Sockeye,519,0.98,A-Y-K,Z,WAK
1999,Steelhead,275,1.02,Southeastern,A,SEAK
1992,Sockeye,296,1.02,A-Y-K,Z,WAK
2011,Sockeye,369,1.09,A-Y-K,Z,WAK
1992,Steelhead,310,1.11,Southeastern,A,SEAK
1995,Steelhead,321,1.12,Southeastern,A,SEAK
2005,Chinook,151,1.14,A-Y-K,Z,WAK
1987,Steelhead,364,1.19,Southeastern,A,SEAK
1988,Steelhead,266,1.19,Central,E,PWS
1993,Chum,563,1.22,Westward,F,WAK
1992,Chinook,204,1.23,A-Y-K,X,WAK
1989,Pink,819,1.27,A-Y-K,W,WAK
1994,Pink,896,1.34,Westward,F,WAK
1998,Chinook,210,1.35,A-Y-K,X,WAK
1988,Pink,1057,1.44,A-Y-K,Y,WAK
1990,Sockeye,434,1.46,A-Y-K,Z,WAK
2007,Pink,937,1.48,Central,T,WAK
1989,Steelhead,480,1.59,Southeastern,A,SEAK
2004,Chum,505,1.73,Westward,L,SPen
2001,Chinook,213,1.73,A-Y-K,Z,WAK
1989,Steelhead,431,1.74,Southeastern,C,SEAK
1987,Steelhead,508,1.8,Southeastern,C,SEAK
1996,Steelhead,524,1.81,Southeastern,A,SEAK
1985,Steelhead,516,1.89,Southeastern,A,SEAK
2009,Chinook,4068,1.9,A-Y-K,Y,WAK
1986,Steelhead,561,1.92,Southeastern,A,SEAK
1988,Steelhead,494,1.97,Southeastern,A,SEAK
2002,Chum,601,2.07,A-Y-K,Z,WAK
1990,Pink,1469221,2.07,Southeastern,D,SEAK
1988,Steelhead,611,2.13,Southeastern,C,SEAK
1994,Steelhead,659,2.35,Southeastern,A,SEAK
1990,Chinook,92259,2.52,Southeastern,B,SEAK
1996,Pink,1682,2.9,A-Y-K,W,WAK
1987,Pink,2260,3.03,A-Y-K,Z,WAK
2013,Chinook,582,3.25,Westward,M,WAK
2004,Pink,2380,3.44,Westward,L,SPen
2015,Pink,2151,3.53,Central,T,WAK
1985,Steelhead,1036,3.73,Southeastern,C,SEAK
1990,Coho,930071,3.8,Southeastern,B,SEAK
2007,Sockeye,1154,3.83,A-Y-K,Z,WAK
1988,Sockeye,1252,3.9,A-Y-K,Z,WAK
1990,Chum,798477,3.94,Southeastern,B,SEAK
1991,Steelhead,1082,4.1,Southeastern,B,SEAK
2005,Pink,2684,4.22,Central,T,WAK
1993,Steelhead,1063,4.23,Southeastern,B,SEAK
1998,Pink,2720,4.73,A-Y-K,W,WAK
2007,Pink,3769,4.78,A-Y-K,Z,WAK
2015,Chinook,1288,4.86,A-Y-K,Z,WAK
1986,Steelhead,1352,4.89,Southeastern,C,SEAK
2000,Chinook,752,5.1,A-Y-K,Z,WAK
1985,Pink,3647,5.2,A-Y-K,Z,WAK
1989,Chum,1624,5.39,Westward,L,SPen
1985,Pink,3144,5.41,Westward,M,WAK
1999,Coho,1837,5.41,A-Y-K,Y,WAK
2005,Pink,3841,5.6,Westward,M,WAK
2014,Chinook,908,5.81,Westward,M,WAK
1987,Pink,3486,5.81,Westward,M,WAK
2002,Coho,1764,5.88,A-Y-K,Z,WAK
1999,Pink,4367,5.94,Westward,M,WAK
2002,Chinook,1521,6.38,Westward,L,SPen
1991,Pink,4249,6.63,Westward,M,WAK
2008,Chinook,970,6.72,Westward,L,SPen
2013,Pink,5315,6.98,Westward,M,WAK
1993,Pink,5328,7.47,Westward,M,WAK
2012,Chinook,1053,7.83,Westward,M,WAK
1992,Pink,6284,8.27,A-Y-K,Z,WAK
2011,Pink,7141,8.97,A-Y-K,Z,WAK
1989,Steelhead,2279,8.99,Southeastern,B,SEAK
2008,Sockeye,3690,9.17,Southeastern,D,SEAK
2003,Chum,3560,10.74,A-Y-K,Z,WAK
1987,Steelhead,2694,10.86,Southeastern,B,SEAK
2010,Coho,3905,10.88,A-Y-K,Y,WAK
2013,Pink,8364,10.96,A-Y-K,Z,WAK
1989,Coho,2599,11.08,Westward,K,Kod
2014,Chinook,2505,11.8,A-Y-K,W,WAK
2015,Sockeye,4119,11.84,A-Y-K,Z,WAK
2001,Chinook,2623,12.11,Westward,M,SPen
1992,Pink,7972,12.36,Westward,F,WAK
1988,Steelhead,3037,12.39,Southeastern,B,SEAK
2008,Chinook,1800,12.68,Westward,M,WAK
2005,Chum,3983,12.73,A-Y-K,Z,WAK
2015,Pink,7383,13.51,A-Y-K,Y,WAK
2007,Chinook,1773,13.74,Westward,L,SPen
1992,Steelhead,3553,14.18,Southeastern,B,SEAK
2009,Chinook,3319,14.5,Westward,L,SPen
1988,Sockeye,5780,14.83,Southeastern,D,SEAK
2000,Chinook,2612,15.79,Westward,L,SPen
1989,Pink,10803,15.99,Westward,M,WAK
2011,Chinook,2371,16.51,Westward,M,WAK
1996,Chinook,13286,17.04,Southeastern,B,SEAK
2013,Chinook,2962,17.1,Westward,L,SPen
1990,Sockeye,1072483,17.39,Southeastern,B,SEAK
2002,Sockeye,6711,17.7,Southeastern,D,SEAK
2001,Chinook,2939,17.86,Westward,L,SPen
2006,Chinook,2256,17.95,Westward,L,SPen
2003,Chinook,2874,18.06,Westward,M,SPen
2000,Chum,6150,18.28,A-Y-K,Z,WAK
2015,Pink,12395,18.3,Westward,M,WAK
2001,Pink,12479,18.65,Westward,M,WAK
1995,Pink,12171,18.8,Westward,M,WAK
2004,Chum,6297,19.23,A-Y-K,Z,WAK
2015,Chinook,2844,19.42,Westward,M,WAK
2003,Chinook,3068,19.83,Westward,L,SPen
1985,Chinook,1887,20.35,Westward,L,SPen
2012,Chinook,2678,20.43,Central,H,CI
2008,Pink,14100,21.12,A-Y-K,Y,WAK
2009,Pink,17364,21.18,A-Y-K,Z,WAK
2013,Chinook,2801,21.31,A-Y-K,W,WAK
2005,Coho,6956,21.32,Westward,L,SPen
2004,Chinook,2522,21.34,Westward,L,SPen
2010,Chinook,2791,21.35,Westward,M,WAK
1997,Chinook,3120,21.42,Westward,L,SPen
2009,Chinook,3189,21.85,Westward,M,WAK
1999,Chinook,2508,21.96,A-Y-K,Z,WAK
1987,Chinook,2651,22.44,Westward,L,SPen
2012,Chinook,3687,22.79,Westward,L,SPen
1992,Coho,8185,22.89,A-Y-K,Y,WAK
2004,Pink,15828,23.47,Westward,M,WAK
1990,Pink,16082,23.52,A-Y-K,W,WAK
2000,Chinook,3905,24.86,Westward,M,WAK
2000,Chum,7289,24.91,A-Y-K,Y,WAK
2009,Coho,8350,25.16,A-Y-K,Y,WAK
1999,Chinook,3507,25.72,Westward,L,SPen
2012,Sockeye,12390,25.84,Southeastern,D,SEAK
1986,Pink,16561,26.08,A-Y-K,W,WAK
1992,Chinook,4541,26.11,A-Y-K,Z,WAK
1999,Chum,7881,26.15,A-Y-K,Z,WAK
2003,Chinook,4545,26.35,Westward,M,WAK
2002,Coho,8410,26.67,Central,T,WAK
2002,Chinook,3852,26.72,Westward,M,WAK
2003,Pink,18666,26.74,Westward,M,WAK
1987,Chinook,4612,26.8,Westward,K,Kod
1999,Chinook,4886,27,Westward,M,WAK
2005,Chinook,3408,28.03,Westward,L,SPen
1996,Chinook,3145,28.4,Westward,L,SPen
2005,Chum,8821,29.13,Westward,L,SPen
2014,Chinook,8571,29.22,Westward,K,Kod
2005,Chinook,4670,29.42,Westward,M,SPen
2008,Chinook,4645,29.77,A-Y-K,Y,WAK
2002,Pink,21468,29.98,Westward,M,WAK
1998,Chinook,4503,30.18,Westward,L,SPen
1986,Chinook,3037,30.29,Westward,L,SPen
1986,Chinook,4381,30.35,Westward,K,Kod
1988,Chinook,4096,30.46,A-Y-K,Z,WAK
2009,Sockeye,11926,30.53,Southeastern,D,SEAK
2006,Chum,10042,31.07,A-Y-K,Z,WAK
2003,Sockeye,12859,31.36,Southeastern,D,SEAK
1985,Steelhead,7893,31.42,Southeastern,B,SEAK
2010,Sockeye,13694,31.49,Southeastern,D,SEAK
2009,Chinook,7268,31.6,Westward,K,Kod
1991,Chinook,3288,31.61,Westward,L,SPen
2001,Chinook,4425,32.3,Westward,M,WAK
1994,Chinook,3919,32.6,Westward,L,SPen
2002,Chum,8390,33.72,A-Y-K,X,WAK
1986,Sockeye,14647,33.75,Southeastern,D,SEAK
2007,Chinook,7609,33.78,Westward,M,WAK
2008,Chinook,4378,33.87,Westward,M,SPen
2015,Chinook,9204,34.08,Westward,L,SPen
2011,Chinook,6586,34.18,Westward,L,SPen
1989,Chinook,3542,34.79,Westward,L,SPen
2014,Chinook,8846,34.79,Westward,L,SPen
2014,Chinook,5039,34.88,Central,H,CI
1998,Chinook,4919,35.09,Westward,M,SPen
2014,Sockeye,14725,35.41,Southeastern,D,SEAK
2002,Chinook,6428,35.65,Westward,M,SPen
2013,Chinook,5794,35.78,Central,H,CI
2014,Chinook,7915,36.03,Westward,M,SPen
2001,Chum,11100,36.09,A-Y-K,Z,WAK
2015,Chinook,8380,36.37,Westward,K,Kod
2015,Chinook,8260,37.67,A-Y-K,W,WAK
2011,Coho,13742,37.8,Central,T,WAK
1996,Chinook,4941,37.89,Westward,M,WAK
1998,Pink,25445,38.17,Central,T,WAK
1996,Chum,10833,38.97,A-Y-K,Z,WAK
1986,Steelhead,9528,39.59,Southeastern,B,SEAK
2013,Chinook,7533,39.82,Westward,M,SPen
2010,Pink,31557,39.9,A-Y-K,Z,WAK
1999,Coho,12662,39.93,A-Y-K,Z,WAK
2006,Chinook,7674,40.15,Westward,M,WAK
1991,Sockeye,18692,40.23,Southeastern,D,SEAK
1998,Chinook,5928,40.28,Westward,M,WAK
2011,Chinook,7214,41.07,Westward,M,SPen
2000,Chinook,5445,41.37,Westward,M,SPen
1999,Chinook,5074,41.58,Westward,M,SPen
2007,Chinook,5324,41.66,Westward,M,SPen
1989,Pink,27712,42.76,Westward,L,SPen
2002,Chum,13796,43.07,A-Y-K,Y,WAK
1996,Chinook,5520,43.39,Westward,M,SPen
2010,Pink,33520,43.41,Westward,M,WAK
1985,Chinook,4970,43.59,Westward,K,Kod
1996,Chinook,4999,43.61,A-Y-K,Z,WAK
2009,Chinook,5875,43.67,Westward,M,SPen
1986,Chinook,5589,43.85,Westward,M,SPen
2006,Chinook,5632,44.04,Westward,M,SPen
1994,Chinook,5285,44.68,A-Y-K,Z,WAK
2010,Chinook,7986,46.41,Westward,M,SPen
2010,Chinook,10380,47.35,Westward,L,SPen
1989,Chinook,5707,47.55,A-Y-K,Z,WAK
1998,Chum,16334,48.39,A-Y-K,Z,WAK
2004,Chum,15026,48.7,Westward,M,WAK
1991,Chinook,6068,48.78,A-Y-K,Z,WAK
1997,Chinook,7780,48.84,Westward,M,SPen
1989,Sockeye,18187,48.98,Southeastern,D,SEAK
1995,Chinook,19867,50.28,Southeastern,B,SEAK
1995,Chinook,5493,50.43,Westward,L,SPen
2012,Chinook,14980,51.67,Westward,K,Kod
2004,Coho,20232,53.2,A-Y-K,Y,WAK
1987,Sockeye,22048,53.67,Southeastern,D,SEAK
1990,Coho,761207,54.16,Southeastern,D,SEAK
2004,Chinook,7123,54.65,Westward,M,SPen
2010,Chinook,14708,54.75,Westward,K,Kod
2001,Coho,17084,55.35,Central,T,WAK
1995,Chinook,19821,55.52,Southeastern,C,SEAK
1994,Chum,18292,55.58,A-Y-K,Z,WAK
2005,Chinook,9198,55.93,Westward,M,WAK
1998,Pink,34810,56.94,Westward,M,WAK
1992,Chinook,8026,57.44,Westward,M,SPen
1991,Chinook,7975,57.65,Westward,M,SPen
2012,Chinook,8091,57.74,Westward,M,SPen
1995,Chinook,7571,57.82,Westward,M,WAK
1998,Chinook,7429,57.98,A-Y-K,Z,WAK
2010,Chinook,10086,57.99,A-Y-K,Y,WAK
1996,Chinook,19456,58.04,Southeastern,C,SEAK
1988,Chinook,7296,58.46,Westward,L,SPen
2012,Chinook,8837,58.6,A-Y-K,W,WAK
1989,Chinook,7065,59.21,Westward,M,SPen
1996,Pink,37629,59.52,Central,T,WAK
1988,Pink,37671,60.12,A-Y-K,W,WAK
1986,Chinook,6395,60.4,A-Y-K,Z,WAK
1986,Pink,41260,60.47,A-Y-K,Z,WAK
1990,Chinook,9901,60.9,Westward,L,SPen
1998,Chinook,12775,60.99,Southeastern,C,SEAK
1999,Coho,19559,61.16,Central,T,WAK
2015,Chum,21068,61.33,A-Y-K,W,WAK
1999,Sockeye,28284,61.88,Southeastern,D,SEAK
2011,Coho,19463,62.59,Westward,M,WAK
1992,Chinook,10832,62.64,Westward,L,SPen
2003,Coho,17060,63.4,A-Y-K,Z,WAK
2005,Sockeye,25815,63.91,Southeastern,D,SEAK
1987,Chinook,7080,64.18,A-Y-K,Z,WAK
2007,Sockeye,24606,65.15,Southeastern,D,SEAK
2008,Chinook,17252,65.55,Westward,K,Kod
1985,Chum,22805,65.9,Westward,L,SPen
2003,Chum,21800,66.14,A-Y-K,Y,WAK
1993,Chinook,8972,68.72,A-Y-K,Z,WAK
2001,Coho,19492,69.08,A-Y-K,Z,WAK
2006,Sockeye,29647,69.56,Southeastern,D,SEAK
1985,Chinook,6642,69.61,Westward,M,SPen
2009,Chinook,8887,70.04,Central,H,CI
1991,Chinook,9370,70.73,Westward,M,WAK
2004,Chinook,10402,72.28,Westward,M,WAK
2002,Sockeye,24208,73.12,A-Y-K,W,WAK
2001,Chum,21913,74.09,A-Y-K,W,WAK
1997,Pink,50701,75.11,Westward,M,WAK
2003,Coho,25243,75.19,A-Y-K,Y,WAK
1992,Sockeye,31528,75.7,Southeastern,D,SEAK
2004,Chum,30737,75.72,A-Y-K,Y,WAK
1990,Chinook,8895,76.54,A-Y-K,Z,WAK
1985,Coho,21927,76.75,A-Y-K,Z,WAK
2007,Chinook,17248,77.16,Westward,K,Kod
2000,Chinook,9138,77.19,A-Y-K,Y,WAK
2004,Sockeye,30889,77.62,Southeastern,D,SEAK
2007,Chum,25614,78.22,A-Y-K,Z,WAK
2008,Chum,25380,78.4,A-Y-K,Z,WAK
2002,Chinook,12537,79.07,A-Y-K,W,WAK
1989,Chum,19972,79.23,Westward,K,Kod
1995,Chinook,8860,79.27,A-Y-K,Z,WAK
1987,Chinook,9174,79.49,Westward,M,SPen
1987,Coho,24311,80.65,A-Y-K,Z,WAK
1996,Pink,53842,80.96,Westward,M,WAK
1996,Chinook,13071,80.98,Westward,K,Kod
2005,Chinook,14465,81.25,Westward,K,Kod
1994,Chinook,10002,82.88,Westward,M,SPen
2011,Chinook,18615,83.07,Westward,K,Kod
2001,Chinook,10295,83.08,Central,H,CI
2000,Chinook,12293,83.2,Westward,K,Kod
2000,Chinook,8542,83.58,Central,H,CI
1988,Chinook,11075,83.88,Westward,M,SPen
1997,Chinook,10384,83.96,Westward,M,WAK
1999,Chinook,16180,84.2,Southeastern,C,SEAK
2013,Sockeye,31699,84.46,Southeastern,D,SEAK
